Authors,Title,Year,ISBN,Publisher,Address,URL,DOI,Abstract,Document Type,afiliacion_primer_autor,journal
"Villalba-Condori, Klinge Orlando and Cuba-Sayco, Sonia Esther Castro and Ch\'{a}vez, Evelyn Paola Guillen and Deco, Claudia and Bender, Cristina",Approaches of Learning and Computational Thinking in Students that get into the Computer Sciences Career,2018,9781450365185.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3284179.3284185,10.1145/3284179.3284185,"The way in which the student processes the information, codifies it and recovers it, constitutes its learning approach. The learning process differentiates two qualitative ways of dealing with this process: the deep approach and the superficial approach. The use of each approach depends on the context. However, the adoption of a deep learning approach is positively related to the academic performance. Computational Thinking is defined as a competence of the XXI century, which allows solving problems from a computational point of view, and there is a variety of instruments that allow to measure it, and to know the state in which the evaluated student is. In this paper, we verified the existence of the positive significant relationship between the learning approach and computational thinking in students entering the career of Computer Sciences. By applying Pearson correlation test to verify the relationship between Learning Approaches and Computational Thinking, we found that both variables have homogeneous behaviors and that students show similar conditions. Men are in better conditions than women on the evaluated aspects of the Computational Thinking, Also, we found a significantly positive relationship between Computational Thinking and the Learning Approach (r = 0,882). This result shows that the learning approaches that students' practice are linked to the computational thinking they demonstrate. According to the results, the teachers of this career must develop active and deep methodological strategies due to the predisposition in these students.",Review Paper,University of Hong Kong,PLOS ONE
"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",Conceptions and Misconceptions about Computational Thinking among Italian Primary School Teachers,2017,9781450349680.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3105726.3106194,10.1145/3105726.3106194,"Many advanced countries are recognizing more and more the importance of teaching computing, in some cases even as early as in primary school. ""Computational thinking"" is the term often used to denote the conceptual core of computer science or ""the way a computer scientist thinks"", as Wing put it. Such term - given also the lack of a widely accepted definition - has become a ""buzzword"" meaning different things to different people. We investigated the Italian primary school teachers' conceptions about computational thinking by analyzing the results of a survey (N=972) conducted in the context of ""Programma il Futuro"" project. Teachers have been asked to provide a definition of computational thinking and to answer three additional related closed-ended questions. The analysis shows that, while almost half of teachers (43.4\%) have included in their definitions some fundamental elements of computational thinking, very few (10.8\%) have been able to provide an acceptably complete definition. On a more positive note, the majority is aware that computational thinking is not characterized by coding or by the use of information technology.",Review Paper,University of Chicago,Journal of Machine Learning Research
"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",Conceptions and Misconceptions about Computational Thinking among Italian Primary School Teachers,2017,9781450349680.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3105726.3106194,10.1145/3105726.3106194,"Many advanced countries are recognizing more and more the importance of teaching computing, in some cases even as early as in primary school. ""Computational thinking"" is the term often used to denote the conceptual core of computer science or ""the way a computer scientist thinks"", as Wing put it. Such term - given also the lack of a widely accepted definition - has become a ""buzzword"" meaning different things to different people. We investigated the Italian primary school teachers' conceptions about computational thinking by analyzing the results of a survey (N=972) conducted in the context of ""Programma il Futuro"" project. Teachers have been asked to provide a definition of computational thinking and to answer three additional related closed-ended questions. The analysis shows that, while almost half of teachers (43.4\%) have included in their definitions some fundamental elements of computational thinking, very few (10.8\%) have been able to provide an acceptably complete definition. On a more positive note, the majority is aware that computational thinking is not characterized by coding or by the use of information technology.",Technical Report,Princeton University,Nature Communications
"Cutts, Quintin and Donaldson, Peter and Cole, Elizabeth and Alshaigy, Bedour and Gutica, Mirela and Hellas, Arto and Larraza-Mendiluze, Edurne and McCartney, Robert and Patitsas, Elizabeth and Riedesel, Charles",Searching for Early Developmental Activities Leading to Computational Thinking Skills,2017,9781450347044.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3059009.3081332,10.1145/3059009.3081332,"Drawing on the long debate about whether computer science (CS) and computational thinking skills are innate or learnable, this working group is based on the following hypothesis: The apparent innate ability of some CS learners who succeed in CS courses despite no prior exposure to computing is a manifestation of early childhood experiences and learning outside formal education.",Short Communication,Peking University,ACM Transactions on Graphics
"Villalba-Condori, Klinge Orlando and Cuba-Sayco, Sonia Esther Castro and Ch\'{a}vez, Evelyn Paola Guillen and Deco, Claudia and Bender, Cristina",Approaches of Learning and Computational Thinking in Students that get into the Computer Sciences Career,2018,9781450365185.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3284179.3284185,10.1145/3284179.3284185,"The way in which the student processes the information, codifies it and recovers it, constitutes its learning approach. The learning process differentiates two qualitative ways of dealing with this process: the deep approach and the superficial approach. The use of each approach depends on the context. However, the adoption of a deep learning approach is positively related to the academic performance. Computational Thinking is defined as a competence of the XXI century, which allows solving problems from a computational point of view, and there is a variety of instruments that allow to measure it, and to know the state in which the evaluated student is. In this paper, we verified the existence of the positive significant relationship between the learning approach and computational thinking in students entering the career of Computer Sciences. By applying Pearson correlation test to verify the relationship between Learning Approaches and Computational Thinking, we found that both variables have homogeneous behaviors and that students show similar conditions. Men are in better conditions than women on the evaluated aspects of the Computational Thinking, Also, we found a significantly positive relationship between Computational Thinking and the Learning Approach (r = 0,882). This result shows that the learning approaches that students' practice are linked to the computational thinking they demonstrate. According to the results, the teachers of this career must develop active and deep methodological strategies due to the predisposition in these students.",Conference Proceedings,University of Chicago,ACM Transactions on Graphics
"Wagh, Aditi and Gravel, Brian and Tucker-Raymond, Eli",The Role of Computational Thinking Practices in Making: How Beginning Youth Makers Encounter \&amp; Appropriate CT Practices in Making,2017,9781450363495.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3141798.3141808,10.1145/3141798.3141808,"1There are increasing calls to introduce computational thinking (CT) practices at the K-12 level. These calls are motivated by a consensus that CT practices can be valuable for everyone. This work is based on the assertion that making, or the personal construction of objects employing digital and/or analog technologies, can provide a rich context for enacting CT practices. This paper investigates the activities of a group of beginning youth makers creating an interactive digital/ physical water piano to ask: What forms of CT practices do they enact, and in what ways are these practices further developed in their work? Data includes qualitative ethnographic data including observations, recordings and interviews. We explore the ways youth encounter new, yet relatable and intriguing practices---like debugging to isolate an issue---and appropriate them within particular contexts and for particular goals, often to deal with the immediate challenges they are facing. We end by offering conjectures for ways to support beginning youth makers in appropriating CT practices.",Editorial,California Institute of Technology,ACM Transactions on Graphics
"Lin, Lorraine and Parmar, Dhaval and Babu, Sabarish V. and Leonard, Alison E. and Daily, Shaundra B. and J\""{o}rg, Sophie",How character customization affects learning in computational thinking,2017,9781450351485.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3119881.3119884,10.1145/3119881.3119884,"The ability to select or customize characters in educational applications and games has been shown to influence factors related to learning effects such as transfer, self-efficacy, and motivation. Most previous conclusions on the perception of virtual characters and the effect of character assignment in interactive applications have been reached through short, one-task experiments. To investigate more long-term effects of assigning versus customizing characters as well as explore perceptions of personal character appearance, we conduct a study in which sixth and seventh grade students are introduced to programming concepts with the software VEnvI (Virtual Environment Interactions) in seven one-hour sessions over two weeks. In VEnvI, students create performances for virtual characters by assembling blocks. With a between-subjects design, in which some of the students can alter their character and others are not given that possibility, we examine the influence of the presence or absence of character choice options on learning.We hypothesize that students have higher learning outcomes when they can choose and customize how their character looks compared to when they are assigned a character. We confirm this hypothesis for a category of learning (Remember and Understand) and give insights on students' relationships with their character.",Conference Proceedings,University of Tokyo,Science Advances
"Slaviero, Cleyton and Haeusler, Edward Hermann",Exploring concurrency on computational thinking tools,2015,9781450353625.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3148456.3148484,10.1145/3148456.3148484,"Computational thinking (CT) tools express their designers' perspective on how a selected set of Computer Science concepts should be introduced, typically hiding details to avoid unnecessary complexity. This paper focuses on how concurrency is dealt with by five well-known tools in this domain: Scratch, Alice, AgentSheets, NetLogo and Greenfoot. We present the results of a systematic analysis contrasting their model of concurrent behavior with the corresponding programming interface messages that trigger their users' interpretation and learning of concurrency-related concepts. We present and discuss the conceptualizations that potentially emerge from using these five tools and compare them with established concurrency concepts. Our findings indicate opportunities for an explicit exploration of how some concurrency aspects are implemented in games and simulations built with CT tools. We believe that this might facilitate future learning and comprehension of complex concurrency concepts, considering that the knowledge embedded in these tools can also influence students' understanding of concurrency.",Case Study,MIT,Journal of Machine Learning Research
"Falc\~{a}o, Taciana Pontual and Gomes, Tancicleide C. Sim\~{o}es and Albuquerque, Isabella Rocha",Computational thinking through children's games: an analysis of interaction elements,2015,9781450353625.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3148456.3148485,10.1145/3148456.3148485,"Digital games represent a ludic, attractive and pedagogically interesting possibility for teaching-learning processes. The appearance of several children's games based on creation of algorithmic sequences for controlling characters shows the growing importance given to the development of computational thinking at elementary level. However, the adoption of this kind of game in educational contexts is hindered by the lack of trustworthy design and evaluation methods to access the quality of the games and guide developers and educators. This paper reports the evaluation of a children's digital game for teaching computational thinking, and presents results that contribute to the generation of guidelines related to interface elements, interaction issues and key design choices for performing functions that are common to games of the kind.",Editorial,University of Cambridge,ACM Transactions on Graphics
"Sherman, Mark and Martin, Fred",The assessment of mobile computational thinking,2015,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"This paper introduces a rubric for analyzing ""mobile computational thinking"" (MCT) as represented in App Inventor work products. To demonstrate its efficacy, this rubric was used to evaluate and compare student work from the CS and non-CS student cohorts in a mixed-major app design undergraduate course. Our analysis showed some significant differences between the cohorts, which were expected, as well as more subtle differences. The rubric demonstrated that it was sensitive to significant and subtle variations of MCT. The instrument is available for download and use.",Editorial,Tsinghua University,Science Advances
"Kong, Siu-Cheung and Lao, Andrew Chan-Chio",Assessing In-service Teachers' Development of Computational Thinking Practices in Teacher Development Courses,2019,9781450358903.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3287324.3287470,10.1145/3287324.3287470,"To promote computational thinking (CT) education in primary schools, in-service teachers need to attend CT teacher development programmes. One of the intended learning outcomes of the programme is to improve CT practices of teachers, which is one of the three key elements in the CT framework proposed by Brennan and Resnick. Assessing one's CT practices is challenging because there is no universally agreed-upon assessment method on CT practices in the existing literature. This study adopted the Evidence-centered Assessment Design (ECD) method to design test questions to evaluate teachers' development of CT practices. This study provided two Teacher Development Courses (TDCs) to enable teachers to teach CT through programming. TDC 1 focused on developing CT concepts, practices and perspectives of teachers, while TDC 2 put emphasis on pedagogies of teaching CT. 80 teachers participated in the two courses. The CT practices tests were administered before the courses, between the two courses and after the courses respectively. Results indicated that CT practices were improved progressively when the in-service teachers attended the two courses. It indicated that it is useful for teachers to experience programming practices in their initial learning as well as during their pedagogical development.",Technical Report,Imperial College London,Nature Communications
"Gautam, Aakash and Bortz, Whitney Elaine Wall and Tatar, Deborah",Case for Integrating Computational Thinking and Science in a Low-Resource Setting,2017,9781450352772.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3136560.3136601,10.1145/3136560.3136601,"There is a growing need to use computers to formulate problems and their solutions across domains. It has thus become imperative that students across the globe be able to work with computing to express themselves. However, teaching computer science in a traditional way may not be possible in all settings. We studied a method to integrate computational thinking, the ability to express problems and their solutions to a computing device, into an existing science classroom with the goal of deepening learning in both science and computational thinking in a low-resource setting in Nepal. In this note, we present findings from the study. The proposed curricular method acknowledges local differences and presents a way to adapt to those differences through adaptable multiple layers of activities and representational variability. We hope that interested educators and development practitioners would try our method in classrooms.",Review Paper,Columbia University,IEEE Transactions on Software Engineering
"Feldhausen, Russell and Weese, Joshua Levi and Bean, Nathan H.",Increasing Student Self-Efficacy in Computational Thinking via STEM Outreach Programs,2018,9781450351034.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3159450.3159593,10.1145/3159450.3159593,"This paper describes our experiences developing and teaching two different interventions focused on computational thinking and computer science at a yearly STEM outreach program hosted by a local school district. We describe the creation of our lesson plans, how we worked with experienced and pre-service teachers alike to deliver the lessons, and how we assessed the effectiveness of each intervention. We will discuss our successes and failures, and provide information on our future plans to incorporate more formalized education theory, pedagogy, and research methodology in future years to further this project. Based on our assessment results, we observed statistically significant gains in student self-efficacy with creating computer programs that perform a variety of operations. In addition, students reported a significantly higher understanding of how computer programming can be used in daily life. Our survey also highlighted differences in student self-efficacy between the two interventions, and we discuss possible sources for that result. We discuss observed results based on student groups with various backgrounds, previous STEM experiences, and socioeconomic status.",Editorial,Peking University,PLOS ONE
"Sys\l{}o, Maciej M.",From Algorithmic to Computational Thinking: On the Way for Computing for all Students,2015,9781450334402.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2729094.2742582,10.1145/2729094.2742582,"Computational thinking, as coined by Jeannette Wing, is a fundamental skill for all to be able to live in today's world, a mode of thought that goes well beyond computing and provides a framework for reasoning about problems and methods of their solution. It has a long tradition as algorithmic thinking which within computer science is a competence to formulate a solution of a problem in the form of an algorithm and then to implement the algorithm as a computer program. Computational thinking is not an adequate characterization of computer science as claimed by Peter Denning and he is right -- it is a collection of key mental tools and practices originated in computing but addressed to all areas far beyond computer science. As an extension of algorithmic thinking, it includes thinking with many levels of abstraction as a problem solving approach inherently connected to computer science and addressed to all students to use computers and computing skills in solving problems in various school subjects coming from various scientific and applied areas. Computational thinking involves concepts, skills and competences that lie at the heart of computing, such as abstraction, decomposition, generalization, approximation, heuristics, algorithm design, efficiency and complexity issues and therefore it is clear that basic computer science knowledge helps to systematically, correctly, and efficiently process information, perform tasks, and solve problems. Although coming from computer science, computational thinking is not only the study of computer science, though computers play an essential role in the design of problems' solutions. It is a very important and useful mode of thinking in almost all disciplines and school subjects as an insight into what can and cannot be computed.In this talk we shall discuss a new computing curriculum addressed to ALL students in K-12 in Poland which motivates them to use computational thinking in solving problems in various school subjects. Moreover its goal is to encourage and prepare students from early school years to consider computing and related fields as disciplines of their future study and professional career. To this end, the curriculum allows teachers and schools to personalize learning and teaching according to students' interests, abilities, and needs.The new computing curriculum benefits a lot from our experience in teaching informatics in our schools for almost 30 years -- the first curriculum was approved by the ministry of education in 1985, 20 years after the first regular classes on informatics were held in two high schools in Wroc\l{}aw and in Warsaw. Today, informatics is an obligatory subject in middle school (grades 7-9) and high school (grades 10-12) and it will replace computer lessons (mainly on ICT) in elementary schools (grades 1-6). The new curriculum is also addressed to vocational education.",Review Paper,University of Toronto,ACM Transactions on Graphics
"Gonz\'{a}lez, Yen Air Caballero and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel",A robotics-based approach to foster programming skills and computational thinking: Pilot experience in the classroom of early childhood education,2018,9781450365185.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3284179.3284188,10.1145/3284179.3284188,"This document has the purpose to present some results obtained in the pilot experience, play and program with Bee-Bot. The activities were developed in the framework of the doctoral research project whose purpose is the design and integration of learning activities with robotics to foster programming skills and computational thinking in the classroom of early childhood. Teachers and students of the second cycle of early childhood education of a concerted school participated in the experience during 2016-2017 academic period. School is in Salamanca, Spain. The activity allowed students to solve programming challenges using the Bee-Bot floor robot. Instruments were used to collect data, such as: questionnaires, interviews, rubrics and field diary. In general terms, the results obtained were positive. The technical, pedagogical and social aspects proposed in this research have received the favorable acceptance of teachers and students. Therefore, the information generated allowed to strengthen the design, structure and evaluation of the robotics program would be used in later stages of the investigation.",Short Communication,University of Chicago,Computers & Education
"Psycharis, Sarantos and Kotzampasaki, Evangelia",A Didactic Scenario for Implementation of Computational Thinking using Inquiry Game Learning,2017,9781450353779.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3160908.3160918,10.1145/3160908.3160918,"We present an education scenario for the simulation of the ""pixel"" of a computer screen. The teaching and learning process is implemented as a game problem based scenario related to the ""rescue"" of an object by the students. We used the Arduino controller and the Ejs and S4A software in order to motivate students to be involved in the computational experiment methodology and the dimensions of the computational thinking (CT). Research is in process for the effectiveness of this scenario to 5th and 6th grade students using a CT questionnaire.",Review Paper,Columbia University,PLOS ONE
"Jordan, Michael I.","Computational Thinking, Inferential Thinking and ""Big Data""",2015,9781450327572.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2745754.2745782,10.1145/2745754.2745782,"The phenomenon of ""Big Data"" is creating a need for research perspectives that blend computational thinking (with its focus on, e.g., abstractions, algorithms and scalability) with inferential thinking (with its focus on, e.g., underlying populations, sampling patterns, error bars and predictions). Database researchers and statistical machine learning researchers are centrally involved in the creation of this blend, and research that incorporates perspectives from both databases and machine learning will be of particular value in the bigger picture. This is true both for methodology and for theory. I present highlights of several research initiatives that draw jointly on database and statistical foundations, including work on concurrency control and distributed inference, subsampling, time/data tradeoffs and inference/privacy tradeoffs.",Short Communication,Tsinghua University,Nature Communications
"Boom, Kay-Dennis and Bower, Matt and Arguel, Ama\""{e}l and Siemon, Jens and Scholkmann, Antonia",Relationship between computational thinking and a measure of intelligence as a general problem-solving ability,2018,9781450357074.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3197091.3197104,10.1145/3197091.3197104,"Computational thinking – the ability to solve problems using concepts from computer science – has been widely discussed in the computer science education field. However, the relationship of computational thinking to intelligence – seen as the general ability to understand and solve complex problems – is contestable and has not been extensively explored. The present study addressed the question of how computational thinking is related to intelligence. To find an answer to this question, 71 pre-service teacher students completed a survey with 20 Bebras tasks as a measure of computational thinking and a non-verbal intelligence test (TONI-3) to assess their general problem-solving ability. The large and significant correlation of r(70) = .53, p &lt; .001, indicates that both concepts are highly related. Implications of the findings are discussed, including the meaning of the relationship between computational thinking and intelligence during teaching and assessment, and the possibility of more holistic measures of computational thinking that incorporate procedural aspects.",Editorial,MIT,Computers & Education
"Conde, Miguel \'{A}. and Fern\'{a}ndez-Llamas, Camino and Rodr\'{\i}guez-Sedano, Francisco J. and Guerrero-Higueras, \'{A}ngel M. and Matell\'{a}n-Olivera, Vicente and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",Promoting Computational Thinking in K-12 students by applying unplugged methods and robotics,2017,9781450353861.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3144826.3145355,10.1145/3144826.3145355,"Nowadays students live in the digital age and they do not only should learn to speak, write or develop specific skills. Students needs to be successful in their context and a possible way to achieve this is by developing the computational thinking. In the last few years there are several initiatives to promote computational thinking and to define approaches and methods to support it. One of this is the unplugged methods, in which students develop computational thinking skills without using the technology. This paper presents an experiment to promote computational thinking by using unplugged methods and employing robots as teachers as an engagement factor for the students. During the experiment, they have been distributed in two groups. One has carried out unplugged activities to develop computational thinking while the other did not. From the experiment, it is possible to see that results are better for those students that have completed unplugged activities and there are differences depending on age.",Short Communication,Princeton University,Science Advances
"Urrutia, Elizabeth K. Morales and Oca\~{n}a, Jos\'{e} Miguel and P\'{e}rez-Mar\'{\i}n, Diana and Tamayo, Silvia",A first proposal of Pedagogic Conversational Agents to develop Computational Thinking in children,2017,9781450353861.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3144826.3145350,10.1145/3144826.3145350,"Pedagogic Conversational Agents are interactive systems that teach by talking to the students. They have been used in several domains to develop competences such as storytelling or negotiation from University to Pre-Primary Education. However, in the literature, no cases of using agents for teaching programming to develop computational thinking in children have been found. In the last decades, there is a growing interest in developing computational thinking in children. According to some authors, if children develop computational thinking, they will be able to solve not only computer problems but their daily life problems in a better way. It is under research which educational technologies and methodologies can be more adequate depending on the context to achieve this goal. In this paper, it is proposed, for the first time, the use of Pedagogic Conversational Agents to develop computational thinking in children. Given the complexity of designing this new type of agent, and as it has been done in previous occasions when trying to design a new agent, the MEDIE methodology will be followed to eventually integrate the agent into the classrooms.",Research Article,Tsinghua University,IEEE Transactions on Software Engineering
"Curzon, Paul",cs4fn and computational thinking unplugged,2013,9781450324557.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2532748.2611263,10.1145/2532748.2611263," 'Computer Science for Fun' (cs4fn) is a public engagement project aiming to both enthuse school students about inter-disciplinary computer science and support computing teachers. It started in 2005, with cs4fn resources now widely used in UK schools as well as internationally. We overview the approach cs4fn has used to inspire students and teachers. In particular we look at how not only subject knowledge but also computational thinking ideas can be taught in an integrated way using cs4fn 'unplugged' activities embedded in stories. We give two illustrative examples, one based on the problem of helping people with locked-in syndrome communicate, the second based around magic tricks.",Short Communication,University of Cambridge,ACM Transactions on Graphics
"Guenaga, Mariluz and Menchaca, Iratxe and Garaizar, Pablo and Egu\'{\i}luz, Andoni","Trastea.club, an initiative to develop computational thinking among young students",2017,9781450353861.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3144826.3145358,10.1145/3144826.3145358,"Trastea.club (http://www.trastea.club/) is an initiative of the University of Deusto (Spain) aimed to develop STEM-related skills among young students (STEM stands for Science, Technology, Engineering, and Science). We chose the name ""trastea"" because it means to tinker in Spanish, a verb that fits with the hands-on approach of this initiative. Since January 2014, we have organized more than 180 workshops attended by more than 3.200 students from 35 different schools. With the aim of supporting the methodological and technical changes needed to integrate these new skills in the classroom, 216 teachers also benefited from our training courses, consultancy and support to adapt Trastea.club's activities to their curricula. Initiatives such as Trastea.club aim to support the constant adaptation process faced by schools and teachers due to the rapidly changing technologies and the evolution of students' profiles. The main goal of this initiative is to help schools in their constant adaptation processes towards the new digital literacy1.",Review Paper,University of Hong Kong,PLOS ONE
"Ord\'{o}\~{n}ez Franco, Patricia and Carroll-Miranda, Joseph and L\'{o}pez Delgado, Mar\'{\i}a and Gerena L\'{o}pez, Eliud and Rodr\'{\i}guez G\'{o}mez, Grace",Incorporating Computational Thinking in the Classrooms of Puerto Rico: How a MOOC Served as an Outreach and Recruitment Tool for Computer Science Education,2018,9781450351034.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3159450.3159544,10.1145/3159450.3159544,"This paper intends to share both the experience of teachers and document the research of the design, implementation, and evaluation of a massive open online course (MOOC). The primary purpose of the MOOC was to do outreach and build community to interest teachers from any discipline in Puerto Rico to incorporate Computational Thinking (CT) into their curriculum and peak their interest in Computer Science Education (CSE). Additional objectives were to use CT as a way to build self-efficacy in high school teachers as integrators of this newly gained knowledge while investigators learned the state of CSE and technology integration in schools of Puerto Rico. The MOOC titled Integrating Computational Thinking into the Curriculum was the first free online Professional Development offered to educators in Puerto Rico and has served as the launching board for the Computer Science Teachers' Association (CSTA) in Puerto Rico. This paper will describe the course's development, content and pertinent activities as they relate to the established goals of the project. Finally, it will share some vignettes of the educators' experiences as well as the results of a survey that was administered to 164 participants of the MOOC in its second rendition and had a 32\% response rate.",Editorial,University of Tokyo,IEEE Transactions on Software Engineering
"Tarr\'{e}s, Marta I. and Dorado, Antonio David","Qu\'{\i}-Bot-H2O Challenge: Integration of computational thinking with chemical experimentation in early ages including gender, inclusive and diversity patterns",2021,9781450390668.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3486011.3486430,10.1145/3486011.3486430,"This multidisciplinary and interdisciplinary project is developed with the main objective of increasing interest in science and technology among children and young people in an inclusive way, breaking stereotypes and invisible social and gender barriers. In order to reduce the gender gap in technical careers, the social aspect of robotics applied to chemistry is highlighted at early ages. Qu\'{\i}-Bot-H2O Project has been included in the gender equality lines of action of the two references territorial public administrations for UPC Manresa (Bages County Council in its III Gender Equality Plan and the Manresa City Council in the II Gender Equality Plan). Qu\'{\i}-Bot-H2O challenge is supported by the Spanish Ministry of Economy and Competitiveness under Grant FECYT2021-15626, Line of action 2. Education and scientific vocations (2nd place out of 120 awarded).",Review Paper,University of Melbourne,Nature Communications
"Weintrop, David and Walkoe, Janet and Walton, Margaret and Bih, Janet and Moon, Peter and Elby, Andrew and Bennett, Bianca and Kantzer, Madison",Sphero.Math: a computational thinking-enhanced fourth grade mathematics curriculum,2022,9781450396158.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3507951.3519286,,"Computational thinking (CT) constitutes an essential set of skills and practices that all students should learn in order to effectively and meaningfully participate in an increasingly computational world. This paper introduces Sphero.Math, a curriculum that integrates CT concepts and practices into 4th-grade mathematics classrooms using the Sphero robot. Sphero.Math was co-designed with school district partners in such a way as to achieve two central design goals. First, integrate CT and mathematics in a mutually-supportive way, meaning that learners engage with CT as a means to deepen mathematics learning and that mathematics serves as a context to learn CT. Second, create a CT-infused curriculum using existing school/district resources that is designed to fit within the constraints of public school classrooms. Along with introducing Sphero.Math and its design goals, this paper presents empirical evidence for the types of CT and math learning opportunities that Sphero.Math can provide for students. In doing so, this work contributes to our understanding of ways to productively integrate CT into elementary classrooms and advances our understanding of how to work within existing educational infrastructure to provide effective and equitable CT learning opportunities for all students.",Technical Report,University of Oxford,Journal of Computer Science
"Soleimani, Arash and Green, Keith Evan and Herro, Danielle and Walker, Ian D.","A Tangible, Story-Construction Process Employing Spatial, Computational-Thinking",2016,9781450343138.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2930674.2930703,10.1145/2930674.2930703,"The outcome of a multidisciplinary and iterative process, CyberPLAYce is a tangible, interactive, cyber-physical learning tool for children supporting computational thinking and, particularly, playful storytelling. CyberPLAYce finds inspiration in the concept of child-computer interaction, where meaning is constructed through spatially reconfiguring the physical environment. The novel aspect of CyberPLAYce is its extension of cyber-learning to the dimension of space where children construct meaning at a larger physical scale. This paper outlines the motivations for CyberPLAYce, focuses on the full arc of design and evaluation activities concerning computational thinking (CT) practices that engaged 8-12-year-old storytellers, and concludes with a consideration of future work focusing on spatial thinking with CyberPLAYce. Results from our empirical study suggest that cyber-physical play afforded by CyberPLAYce scaffolds computational thinking, creating, and sharing in children. Particularly for IDC researchers in the educational domain, CyberPLAYce represents a Research-through-design exemplar supporting children's enjoyment of learning and meaning-construction.",Conference Proceedings,MIT,ACM Transactions on Graphics
"Torres-Torres, Yucnary-Daitiana and Rom\'{a}n-Gonz\'{a}lez, Marcos and P\'{e}rez-Gonz\'{a}lez, Juan-Carlos",Implementation of Unplugged Teaching Activities to Foster Computational Thinking Skills in Primary School from a Gender Perspective,2019,9781450371919.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3362789.3362813,10.1145/3362789.3362813,"The participation of girls and women is fundamental in solving problems that the society demands. Currently, the figures indicate a deficit of female presence in the STEM context, which implies the loss of the talent of the female collective. The school, as the transforming axis of society, must generate actions that motivate, involve and generate commitment in girls and women, enhancing their engagement in the STEM context. This paper shows two unplugged activities taken from a serial of activities implemented with elementary students and families in a digital cultural center in Madrid-Spain. The implementation is based on general objectives such as 1. To introduce and motivate interest since an early age in computer programming, 2. To develop gender dynamics that educate on gender equity to strengthen female empowerment in the STEM area. Performing the example in the roles of female gender in science, as well as transforming stereotypes with the purpose of motivate girls and adult women, without excluding the male group. The activities also seek to train Computational Thinking skills, to introduce basic computer programming concepts as well as showing that unplugged activities are important in teaching computer programming, and integrate women into the STEM area, as an important tool to reduce gender gaps. Based on our informal observations, some results were: involvement of the female collective in the construction of codes, improvement in the dynamics of gender equity in each activity and that the girls created more complex codes than males.",Short Communication,University of Chicago,PLOS ONE
"Calderon, Ana C. and Crick, Tom",Using Interface Design to Develop Computational Thinking Skills,2015,9781450337533.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2818314.2818333,10.1145/2818314.2818333,"Human-computer interaction is a long established sub-discipline of computer science. While there has been significant focus on the importance of developing computational thinking skills, there appears to be a gap in the literature in using HCI principles, analysis and design as a framework for doing so. We present the first step to identify methodologies for systematically introducing HCI to pupils from an early age, presenting a commentary for their prospective future application, comparing to similar approach as other foundational aspects of computer science in developing computational thinking skills that have been considered for the past decade.",Research Article,University of Chicago,Nature Communications
