Autores,Titulo,Año,ISBN,Editorial,Address,URL,DOI,Abstract
"Azhar, Mohammad Q. and Powers, Jillian and Musgrove, Ann",Examining the Computational Thinking and Robotics Knowledge and Interest of Undergraduate Students in Two Teacher Education Courses,2023,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,This research examines the impact of online instructional modules that integrated computational thinking (CT) and robotics in two teacher education courses on students' knowledge and interest in CT and robotics. Ninety-three (93) students from a lower-division instructional technology course and Fifty-nine (59) students from an upper-division instructional technology course participated in the study. One-sample paired t-tests were conducted to determine whether significant differences existed in participants' self-reported CT and robotics knowledge and interest from before and after the instruction. The results of the analysis found some statistically significant differences in mean CT and robotics knowledge and interest from pre-test to post-test in both courses suggesting this form of instruction can increase students' knowledge and interest in these concepts.
"Maitz, Katharina and Paleczek, Lisa and Danielowitz, Claudia",Simultaneously Fostering Computational Thinking and Social-Emotional Competencies in 4th Graders Using Scratch: A Feasibility Study,2022,9781450396905.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3543758.3549885,10.1145/3543758.3549885,"Social-emotional skills and computational thinking are related to problem-solving skills. Even though these are crucial areas in today’s world, they are only rarely taught in school and interventions that target these areas simultaneously are still very rare. We therefore developed a four-day workshop with the aim of fostering computational thinking and social-emotional skills in Grade 4 students. To do so, we used the child-friendly programming language Scratch. In the present paper, we investigate the feasibility of such a workshop. In total, 18 students participated. Data was collected via observation and interviews and analysed by qualitative content analysis. Results showed that students liked working with Scratch and liked working on social-emotional challenges. The workshop was found to work well and students worked independently. Pair work activity was found to be particularly beneficial. Although some issues initially proved challenging (mostly relating to “how to” issues in Scratch), these may easily be addressed by making suitable adaptations to the introduction of the program provided on Day 1 of the workshop."
"Wang, Juan and Bai, Xinye and Xiang, Qianchen and An, Langsha and Cai, Minghan and He, Chunlin",Research on the Improvement of Teachers' Computational Thinking Teaching Ability Based on STEM86 Platform,2022,9781450387187.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3514262.3514311,10.1145/3514262.3514311,"At present, there is a certain lag in the teaching ability of computational thinking in our country. This article is based on STEM86 platform, ISTE published by the author ""Educator standards: Under the guidance of computational Thinking ability, a standard system for evaluating teachers' computational thinking teaching ability was constructed, and a test scale for evaluating teachers' computational thinking teaching ability was designed. The reliability and validity test and difficulty differentiation test proved that the designed test scale had good scientificity and reliability. On this basis, using this scale, through the empirical way, from three dimensions of computer discipline knowledge and skills, teaching design ability, evaluation and reflection ability to evaluate teachers before and after using STEM86 platform computational thinking teaching ability changes. The results show that STEM86 platform not only solves teachers' programming teaching resource needs, but also effectively improves teachers' computational thinking teaching ability, and provides more references and ideas for teachers' computational thinking teaching ability improvement research."
"Musaeus, Line Have and Petersen, Marianne Graves and Klokmose, Clemens Nylandsted and Iversen, Ole Sejer",CoTinker - A Toolkit for Supporting Computational Thinking and Collaboration in High School Education.,2022,9781450390712.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3478432.3499234,10.1145/3478432.3499234,"Computational thinking (CT) has been recognized as an important part of K-12 education in many countries and is often described in term relating to computer science both in concepts and context. However, the unique practice of computer scientists collaborating on problem solving is often overlooked in CT education in high school. We believe that collaboration is a key aspect of modern computing, and propose to integrate collaborative CT activities into existing high school education. The aim is to prepare students better for exploring computational approaches to high school disciplines as they are practiced in the professional world. Our research question is: how can we design tools for supporting students' collaboration while teaching CT in high school? A new computational environment, CoTinker, has been developed. The tool uses a cross-device approach and foster students' verbal communication and collaboration in groups. The tool was tested in a Biology class. Students' computational thinking (CT) was assessed through learning activities and students' communication was analyzed by audio recordings, of students, imbedded in CoTinker and by focus group interviews with students. Preliminary findings showed students being able to collaborate and solve CT tasks in groups independent of teacher or researchers. Results also indicated that students were able to use, navigate, and critically reflect upon the CoTinker environment."
"Rich, Peter J. and Egan, Garrett and Ellsworth, Jordan",A Framework for Decomposition in Computational Thinking,2019,9781450368957.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3304221.3319793,10.1145/3304221.3319793,"Computational Thinking has become an important cognitive skill to develop in all areas of education. Despite its increasing popularity, the construct itself is only partially understood. There are few measures currently in place that advance our understanding of computational thinking and its subconstructs. In this article, we analyze existing measures of computational thinking (CT), looking specifically at their measures of decomposition. Decomposition is defined as the process of breaking down a problem into its sub-components. Even though most definitions of computational thinking include decomposition, fewbreak down the decompositional process beyond a basic definition. As one of the first steps in the computational thinking process, it is important to better understand the various manners in which decomposition occurs, which methods are most effective, and under what conditions. To better understand the decompositional process, we analyze evidence of decompositional process in a variety of disciplines. We then present a framework for decomposition in computational thinking. We demonstrate how this framework may help educators to better prepare students to break down complex problems, as well as provide guidance for how decompositional ability might be measured."
"Fairlie, Fiona",An Investigation into the Relationship Between Structured Dance Activities and Computational Thinking Skills,2021,9781450383974.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3456565.3460018,10.1145/3456565.3460018,Computational thinking skills are linked with success in learning to program. There is evidence that aspects of dance and choreography may improve cognitive skills related to computational thinking. This project aims to investigate the relationship and develop activities which enhance computational thinking skills and encourage girls to engage with programming.
"Bakala, Ewelina and Gerosa, Anaclara and Hourcade, Juan Pablo and Pascale, Maria and Hergatacorzian, Camila and Tejera, Gonzalo",Design Factors Affecting the Social Use of Programmable Robots to Learn Computational Thinking in Kindergarten,2022,9781450391979.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3501712.3529745,10.1145/3501712.3529745,"Programmable robots designed for preliterate children are one of the options being explored and put into practice for teaching computational thinking skills to children in preschool and kindergarten. Classroom use of these robots may involve use by groups of children due to cost, logistical, and pedagogical reasons. To understand design factors affecting the social use of these robots, we explored the use of three programmable robots with distinctive design characteristics in a kindergarten classroom. Our findings suggest that programmable robot designs that may work well for use by individual children may cause difficulties when shared by groups of children if not all children in the group are able to easily perceive the input (program), output (robot actions), or program state. Based on these design factors we provide recommendations for the design of programmable robots, their evaluation for social use, and for addressing design limitations with support by adult facilitators."
"Zhang, Wei and Wang, Jihan and Zeng, Xinyao",Construction of Evaluation Index System for College Students' Text Programming Computational Thinking,2022,9781450396790.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3543407.3543414,10.1145/3543407.3543414,
"Flinn, Michael B. and McGee, Kristine and Barnes, Katelyn and Morton, Haylee",Integrating computational thinking into K-12 teacher preparation: a collaborative partnership between the department of computer science and the college of education: panel discussion,2021,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"Computer science education is more important than ever. The COVID-19 pandemic has highlighted our society's reliance on computing and its power to help businesses innovate and adapt, yet at the same time has surfaced greater disparities for students studying computer science. Computing is the number one source of all new wages in our economy, and there are currently 400,000 open computing jobs across the United States. However, unequal access to computer science instruction and opportunities to engage in computational thinking and practices remain prevalent (Google \&amp; Gallup, 2015). In the 2018-19 school year, only 15 percent of Maryland graduates took at least one computing related course, and there were significant gaps in the course taking patterns by gender and race (Maryland Center for Computing Education, 2021). To grow students' competencies with computational thinking and computer science, it is essential to build the capacity of teachers to integrate computational thinking competencies and standards into their practice. The Frostburg State University College of Education's Maryland Accelerates (MA) Program provides aspiring teachers the opportunity to earn an accelerated Master of Arts in Teaching (Elementary or Secondary track) degree along with an innovative yearlong teacher residency in partnership with Frederick and Garrett County Public Schools. One of the primary goals of the program is to integrate mathematical problem solving and computational thinking to promote scientific inquiry in partnering elementary and secondary schools. To this end, Frostburg State University has developed an exciting opportunity for Master of Arts in Teaching (MAT) students to earn a microcredential in Computational Thinking that is aligned to the ISTE Educator Standards, the High Leverage Practice Standards from TeachingWorks, and the Interstate Teacher Assessment and Support Consortium InTASC Model as part of their teacher preparation program. In this panel, faculty from the Computer Science Department and the College of Education at Frostburg State University will discuss their partnership to develop a microcredential for Computational Thinking for pre-service teachers, how and why the credential was developed, and what competencies aspiring teachers develop. Two recent graduates of the Maryland Accelerates MAT Teacher Residency program will discuss their experience using these skills and knowledge during their residency and how they plan to apply and integrate computational thinking into their practice as new teachers."
"Ritter, Frauke and Standl, Bernhard",Promoting Computational Thinking in Teacher Education - Combining Semantic Waves and Algorithmic Thinking,2022,9781450391955.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3501709.3544285,10.1145/3501709.3544285,"Teaching algorithmic thinking and programming is an important competency for future informatics teachers to acquire. To encourage this, we are investigating the development of a teaching-learning structure that combines the concept of semantic waves and algorithmic thinking with integrating block-based languages. In our teaching-learning laboratory for informatics (TLL), pre-service informatics teachers develop workshops based our concept, evaluate them with school classes and reflect on their didactic learning. Our concept is evaluated by students’ algorithmic thinking and their perception of the semantic wave using mixed methods. This poster presents one workshop based on our teaching-learning structure and its research procedures."
"Pellar-Kosbar, Meara and Gaines, Dylan and Monroe, Lauren and Rospierski, Alec and Martin, Alexander and Vigna, Ben and Stewart, Devin and Perttunen, Jared and Voss, Calvin and Pastel, Robert and Ureel, Leo C.",Modeling the Growth and Spread of Infectious Diseases to Teach Computational Thinking,2021,9781450383974.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3456565.3460066,10.1145/3456565.3460066,"Modeling is commonly employed in school settings to help students develop an understanding of biological systems [3]. By inspecting and modifying the inner workings of their models, students become familiar with causal factors and how they impact the properties of the model. We believe that allowing students to tinker with computational models involves developing the same skills used in computational thinking, such as abstraction, decomposition, analysis, automation, and generalization. In this poster, we discuss the design and implementation of a simulation that models the growth and spread of a hypothetical disease. The goal is to help middle school students develop computational thinking skills while learning how a virus spreads through the human population."
"Moudgalya, Sukanya Kannan and Yadav, Aman and Sands, Philip and Vogel, Sara and Zamansky, Mike",Teacher Views on Computational Thinking as a Pathway to Computer Science,2021,9781450382144.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3430665.3456334,10.1145/3430665.3456334,"Recent years have seen increased focus on integrating Computational Thinking (CT) across subject areas in lieu of treating it as a standalone subject. Over the course of two years, we focused on teacher development in a large city school system via summer workshops that brought in-service and pre-service teachers together to co-create integrated CT lessons. In this experience report, we will describe the workshop design and share the perspectives of the participating K-5 teachers. One particular area of focus of the workshop was integrating 'plugged' or technology-based computing examples for the teachers. Further, we engaged the teachers with a discussion of the role of CT in promoting equity for students and demonstrated ways in which student cultural experiences could be activated through creative computing. Specific outcomes of the work included increased confidence and value in CT vocabulary usage, ideas to infuse existing curriculum with CT ideas, and teacher belief that CT could be used as a ""gateway"" for learning CS. We make recommendations for future efforts to include CT in pre-service teacher preparation."
"Munasinghe, Bhagya and Bell, Tim and Robins, Anthony",Teachers’ understanding of technical terms in a Computational Thinking curriculum,2021,9781450389761.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3441636.3442311,10.1145/3441636.3442311,"Teachers new to computing who are not familiar with technical “jargon” can feel like they have landed in a foreign world, making them reluctant to take on the subject, and potentially leading to misconceptions and misunderstandings in the classroom. The diversity of technical words, metaphors, and phrases in different contexts can make their meanings confusing, ambiguous or misunderstood for the diverse user groups in computing education. Therefore, understanding the nature of the commonly claimed difficulties and confusion caused by computer jargon among teachers becomes important for finding ways to address this issue. This paper presents the findings of an empirical study conducted to understand the nature of teachers’ understanding of computational terms (jargon) related to Computational Thinking concepts, and how a relevant professional development intervention can help to resolve issues related to them. The results indicate that the nature of the teachers’ understanding of computational terms can be either that the computational meaning is not known, that the computational context is unclear, or their applicability is unclear. Concerns about teachers finding computer jargon difficult to understand can be because the computational context in which they are applied makes them difficult for teachers to understand, rather than not knowing their meanings in the first place. Moreover, appropriate support can enable teachers to learn the techniques and skills that the terminology refers to."
"Zhidkikh, Denis and Fagerlund, Janne and Peltonen, Marika and Vesisenaho, Mikko",”CodeInnova”: A Unified Framework for Teaching Programming and Computational Thinking In Primary Schools,2021,9781450384889.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3488042.3489964,10.1145/3488042.3489964,"Teaching programming and computational thinking (CT) in primary schools have become more common in the last decade. However, there has been little international consensus on what teaching the topics encompass. We present CodeInnova, a framework developed jointly between four partnering countries for teaching programming and CT in K–9. In this paper, we present the curriculum for teaching CT and the accompanying teaching materials developed in CodeInnova. We also discuss preliminary results of testing the developed resources in classrooms."
"Yang, Hairu and Dong, Jiamin and Li, Qiuhong and Shao, Yanru and Liu, Yuqi and Xu, Fei",Current status and enhancement strategies for developing computational thinking of high school students in blended learning --Take the high school information technology curriculum as an example,2024,9798400717062.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3670013.3670026,10.1145/3670013.3670026,"In the information age, computational thinking has become a basic quality necessary for learners. How to effectively improve the teaching effect and cultivate students' computational thinking ability has become the focus of most scholars. With the extensive development of ""Internet+"", the traditional face-to-face offline teaching mode has been unable to meet the diversified and personalized learning needs of students, and blended learning has become a brand-new teaching mode, and studies have shown that blended learning can effectively improve the computational thinking ability of learners. Therefore, this study analyzes and discusses the current situation of high school students' computational thinking ability in blended learning, which helps us to deeply understand the current situation of high school students' blended learning, think about how to promote high school students' blended learning, and improve high school students' computational thinking ability, so as to promote the quality of education and teaching. In this study, the literature research method, interview analysis method and questionnaire survey method were used to investigate the current situation of blended teaching activities on the cultivation of computational thinking with 138 freshmen, sophomores and juniors in a high school in western China. The results found that the overall situation of computational thinking level in blended learning of students in a high school in western China was moderate. This was characterized by better levels of cooperative and critical thinking skills, and poorer levels of creativity, algorithmic thinking and problem solving skills. By describing the current situation, it can be seen that there are some problems in the level of computational thinking ability of high school students in blended learning, based on this, this study, based on the specific research data, combined with the results of the interviews, puts forward some suggestions for improving the cultivation of high school students' computational thinking ability in blended learning in a high school in western China in three aspects."
"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e}",Computational thinking and programming education principles,2018,9781450365185.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3284179.3284184,10.1145/3284179.3284184,"After the computational thinking sessions in the previous 2016 and 2017 editions of TEEM Conference, the third edition of this track has been organized in the current 2018 edition. Computational thinking is still a very significant topic, especially, but not only, in pre-university education. However, an important debate exists about how computer science concepts should be introduced in pre-university studies. Most of the proposals join computational thinking issues and programming, but there are many options and opinions. In this track, some interesting contributions are presented."
"Bao, Yeting and Hosseini, Hadi","Computational Thinking, Perception, and Confidence in Distance Learning",2021,9781450380621.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3408877.3439621,10.1145/3408877.3439621,"One of the key factors for measuring success in distance learning is student interaction with learning materials. Remote instruction has gained substantial traction with the advent of online education, and this attention has increased in the presence of global pandemics. The asynchronous nature of remote learning has deteriorated the quality of education for learners, which calls for the design of novel interactive techniques to promote student engagement. We study the impact of traditional learning tools such as textbooks and videos in contrast with interactive learning media in computational and algorithmic thinking, and investigate students' perception of learning and actual learning comprehension in higher education."
"Shen, Wenyao and Zhan, Zehui and Li, Chen and Chen, Han and Shen, Ranhao",Constructing Behavioral Representation of Computational Thinking based on Event Graph: A new approach for learning analytics,2022,9781450396455.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3551708.3556217,10.1145/3551708.3556217,"At present, the mainstream means of measuring and assessing computational thinking are test papers and scales, which enable us to measure the level of students' computational thinking as a whole, but fail to represent the inner laws and thinking processes, thus cause difficulty on providing appropriate guidance. In this study, data embedding technology was adopted to collect data on students' operational behavior in answering questions, and learning analytic techniques (i.e., semantic analysis, lagged sequence analysis, etc.) were used to evaluate computational thinking. Students with higher- and lower-level of computational thinking were compared on their behavioral patterns in a seriel events in the computational thinking training process. An event graph was constructed to represent the computational thinking behaviors based on logical event relationships. This study provides insights on a novel approach of analyzing computational thinking from the procedural perspective, which could be helpful for understanding how the thinking path is structured during problem-solving process."
"Lehtim\""{a}ki, Taina and Hamm, James and Mooney, Aidan and Casey, Kevin and Monahan, Rosemary and Naughton, Thomas J.",A computational thinking module for secondary students and pre-service teachers using Bebras-style tasks,2022,9781450397421.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3555009.3555030,10.1145/3555009.3555030,"We have developed a Transition Year (TY) computational thinking module (for 15-16 year olds) based on Bebras tasks that was delivered online by teachers at 240 schools in Ireland during 2021-2022. To serve primary and secondary pre-service teachers, we have started developing a 24-hour module based on this TY module. We are co-creating the module with education experts and CS academics working collaboratively. The education experts consist of academics and pre-service teachers from both primary and secondary teaching departments at our institution."
"Grover, Shuchi",Thinking about Computational Thinking: Lessons from Education Research,2019,9781450358903.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3287324.3293763,10.1145/3287324.3293763,"Computational thinking (CT) is a means to help learners engage in authentic disciplinary and problem-solving practices of computer science (CS). For CS classrooms, CT is considered ""thinking like a computer scientist"". CT is believed to be an important learning goal of introductory CS in addition to CS concepts and programming. Despite the growing attention on CT in K-12 CS education, there is lingering confusion on the what and how of CT, and CT's relationship to coding and CS. Education research on disciplinary thinking skills in science and mathematics education can provide guidance for teaching and learning of CT. For example, (a) The shift in emphasis on disciplinary thinking helps focus on deeper conceptual understanding rather than rote learning of knowledge and facts. Hence thinking like a scientist, or mathematician, historian or computer scientist, draws attention to authentic practices of those disciplines. (b) Thinking skills are best taught in context. Therefore, CT should be taught in CS classrooms or integrated into learning of other subjects rather than taught as a separate skill or subject. (c) Even if there is no transfer beyond the context in which they are taught, a focus on thinking skills helps in deeper conceptual learning; (d) Like critical or creative thinking, CT should be integrated into other subjects to enrich learning. Research on meaningful technology integration across subjects provides useful frameworks to inform CT integration efforts. This talk aims to productively move the discourse on CT toward concrete ideas for K-12 educators, researchers, and curricular designers."
"Jamieson, Alan C. and Jamieson, Lindsay H.",Computational thinking for computer science majors: an introduction to CS education career pathways,2020,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"In general, computer science majors do not consider K-12 education as a career pathway. A potential reason is a lack of introduction to the career path during their undergraduate careers. In this project, supported through a grant from the Maryland Center for Computing Education (cs4md.org), we developed a pilot computational thinking course blending computer science majors and pre-service teachers. The course focused on describing and integrating computational thinking in a way that would translate to K-12 classrooms while utilizing non-programming based computational tools to demonstrate these ideas. Participants were able to put these ideas into practice in K-8 classrooms during the course and reflect on how the lessons were received. We discuss the implementation of the course, field placement, motivations, and our initial analysis of survey data, including impacts on attitudes on education as a career choice for computer science majors."
"Salac, Jean and Thomas, Cathy and Butler, Chloe and Franklin, Diana",Investigating the Role of Cognitive Abilities in Computational Thinking for Young Learners,2021,9781450383264.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3446871.3469746,10.1145/3446871.3469746,"With the global movement to incorporate computer science instruction into elementary education, learners are being introduced to computer science and computational thinking (CS/CT) ideas at increasingly younger ages. At these early ages, young learners are developing cognitive abilities foundational to their education. While other discipline-based education fields, such as math, science, and reading, have long studied the role of cognitive abilities, such as short-term working memory and long-term retrieval, in their respective fields, similar research in computer science education is relatively sparse. In this exploratory study, we examined the relationship between cognitive abilities and CS/CT performance of fourth-grade students (ages 9-10) who underwent either an introductory CT curriculum based on Use–&gt;Modify–&gt;Create or the same curriculum with additional scaffolding from the TIPP&amp;SEE metacognitive learning strategy. Our analysis revealed performance on CT assessments to be weakly correlated with working memory and long-term retrieval, with correlations increasing as the CT concepts grew more complex. This suggests that scaffolding beyond TIPP&amp;SEE may be needed with more complex CT concepts. We also found that when using TIPP&amp;SEE, students scoring below average on cognitive ability tests performed as well as students in the control condition with average cognitive ability scores. These results indicate TIPP&amp;SEE’s potential in creating more equitable computing instruction. We hope that results from this initial exploration can help encourage further study into the role of cognitive abilities in CS/CT education for young learners."
"Yal\c{c}in, \""{O}zge Nilay and Lalle, Sebastien and Conati, Cristina",An Intelligent Pedagogical Agent to Foster Computational Thinking in Open-Ended Game Design Activities,2022,9781450391443.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3490099.3511124,10.1145/3490099.3511124,"Free-form Game-Design (GD) environments show promise in fostering Computational Thinking (CT) skills at a young age. However, such environments can be challenging to some students due to their highly open-ended nature. Our long-term goal is to alleviate this difficulty via pedagogical agents that can monitor the student interaction with the environment, detect when the student needs help and provide personalized support accordingly. In this paper, we present a preliminary evaluation of one such agent deployed in a real-word free-form GD learning environment to foster CT in the early K-12 education, Unity-CT. We focus on the effect of repetition by comparing student behaviors between no intervention, 1-shot, and repeated intervention groups for two different errors that are known to be challenging in the online lessons of Unity-CT environment. Our findings showed that the agent was perceived very positively by the students and the repeated intervention showed promising results in terms of helping students make less errors and more correct behaviors, albeit only for one of the two target errors. Based on these results, we provide insights on how to improve the delivery of the agent’s interventions in free-form GD environments."
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",Bebras-inspired Computational Thinking Primary School Resources Co-created by Computer Science Academics and Teachers,2022,9781450392013.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3502718.3524804,10.1145/3502718.3524804,"This paper describes our process of creating computational thinking (CT) resources for primary school teachers in Ireland. The National Council for Curriculum and Assessment has proposed a revised primary mathematics curriculum with an emphasis on CT skills and problem solving, and some teachers would like to introduce it already on an informal basis. However, CT is not yet part of teacher training. Our motivating question has been: how can teachers without a computer science background deliver CT at primary level in Ireland? Our process involves third-level computer science academics co-creating resources with in-service and pre-service teachers during workshops. The resources comprise a workbook and lesson plans. Our resources are based on tasks from the International Bebras Challenge, a well-known large-scale international CT contest with a reasonably gender-neutral profile of school-age participants. The workbook consists of ten Bebras tasks, each followed by a page of original activities on the theme of the task. A set of ten lesson plans accompanies the workbook. Each lesson plan has information about how to use the corresponding workbook activities in the classroom, where the activity might fit into the existing curriculum, categorisation of the task in terms of eight CT topics, differentiation, and extension activities. This paper explains our process of workshop planning, workbook creation, and lesson plan co-creation. Preliminary evaluation of our process uses teacher feedback."
"India, Gesu and Ramakrishna, Geetha and Bisht, Jyoti and Swaminathan, Manohar",Computational Thinking as Play: Experiences of Children who are Blind or Low Vision in India,2019,9781450366762.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3308561.3354608,10.1145/3308561.3354608,"Torino is a tangible programming environment designed for teaching the computational thinking curriculum in the UK to children who are blind or low vision (henceforth, just children) in an inclusive setting. In this paper we describe the experience of children in Bangalore, India, when Torino was introduced to them as a toy for creating and sharing stories, songs and music. We conducted 12 play sessions with 12 children (4 girls and 8 boys) with diverse backgrounds belonging to three different schools for the blind. We briefly present the reasons for play being central to our effort of bringing computational thinking to children who are blind and low vision in India, and share some experiences of the children and some insights that we have gathered so far: Children not only enjoyed every session, they rapidly moved from playing with pre-created examples, to making changes, to demanding that their favorite stories be told. In observing such play, we could infer that they have grasped the basic concepts of computational thinking? flow of control, variables, loops? though not articulated in that vocabulary."
"Saito-Stehberger, Dana and Garcia, Leiny and Warschauer, Mark",Modifying Curriculum for Novice Computational Thinking Elementary Teachers and English Language Learners,2021,9781450382144.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3430665.3456355,10.1145/3430665.3456355,"The demand for computational thinking (CT) problem solving abilities surge as every aspect of life becomes more dependent on complex digital technologies. Just as in math and language, a strong CT foundation needs to be established in early education in order for students to develop an instinctive CT perspective of the world. The urgent demand for CT instruction in elementary school quickly draws attention to the shortage of elementary school-level teachers qualified and interested in CT. Additionally, with a commitment to equity in the United States education system and knowledge of the high percentage of English language learning (ELL) students in schools, the obligation to create curricula that will provide access to CT knowledge, skills, and practices for elementary-level ELL students is loudly apparent. In response to these two needs, our team has adapted existing Scratch-based CT curriculum to support classroom teachers with minimal CT experience and to be more accessible to English language learners. The purpose of this paper is to share the framework that guided the curriculum adaptations, to describe the specific changes that were made, and to discuss discoveries made during the process. This journey may be helpful to anyone who is tasked with modifying a curriculum to meet the needs of novice content teachers and ELL students."
"Salac, Jean and Thomas, Cathy and Butler, Chloe and Franklin, Diana",Supporting Diverse Learners in K-8 Computational Thinking with TIPP&amp;SEE,2021,9781450380621.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3408877.3432366,10.1145/3408877.3432366,"With the growth of Computer Science (CS) and Computational Thinking (CT) instruction in the primary/elementary domain, it is important that such instruction supports diverse learners. Four categories of students -- students in poverty, multi-lingual students, students with disabilities, and students who have below-grade-level proficiency in reading and math, may face academic challenges that can hinder their learning in CS/CT curricula. However, little is known about how to support these students in CS/CT instruction, especially at this young age. TIPP&amp;SEE, a meta-cognitive strategy that scaffolds learning by proceduralizing engagement through example code, may offer some support. A quasi-experimental study revealed that the gaps between students with and without academic challenges narrowed when using the TIPP&amp;SEE strategy, indicating its promise in providing equitable learning opportunities in CS/CT."
"Sondakh, Debby E. and Osman, Kamisah and Zainudin, Suhaila",Holistic Assessment of Computational Thinking for Undergraduate: Reliability and Convergent Validity,2020,9781450372541.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3369255.3369303,10.1145/3369255.3369303,"This paper reports a pilot test to a scale called 'Holistic Assessment of Computational Thinking (Hi-ACT. Hi-ACT is seven-point Likert type scale comprises 155 items, resulting form a consensus study completed earlier, which aimed at measure undergraduate students computational thinking skill. The questionnaire was piloted among fourth-year undergraduate students recruited from five faculties in two universities (N=548) in Indonesia. Structural equation modeling with partial least squares technique was followed to establish the factor structure of the scale. The internal consistency reliability was assessed using composite reliability. The convergent validity was evaluated based on two criteria, the outer loadings and the average variance extracted. Accordingly, 44 items that did not load properly on a particular construct were excluded, and the refined scale has confirmed its reliability and validity to the acceptable requirements."
"Nardelli, Enrico",Do we really need computational thinking?,2019,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3231587,10.1145/3231587,"Considering the expression ""computational thinking"" as an entry point to understand why the fundamental contribution of computing to science is the shift from solving problems to having problems solved."
"Castro, Francisco Enrique Vicente",Exploring the Use of Finite-State Machines and Game Creation to Teach Computational Thinking in Middle Schools,2022,9781450392006.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3502717.3532137,10.1145/3502717.3532137,"One challenge in teaching computational thinking (CT) in K-12 is that teachers often lack resources to teach CT in their classrooms. In this work, we explore the use of game creation as an avenue for teaching CT. We describe WearableLearning, an online platform with a finite-state machine-based interface for creating games and discuss how students can use it to learn and practice CT skills such as algorithmic thinking, problem decomposition, and debugging. Our goal is to empower teachers to teach CT through engaging game creation activities that enable students to create games and play the games that their peers developed through wearable devices."
"Tsarava, Katerina and Leifheit, Luzia and Ninaus, Manuel and Rom\'{a}n-Gonz\'{a}lez, Marcos and Butz, Martin V. and Golle, Jessika and Trautwein, Ulrich and Moeller, Korbinian",Cognitive Correlates of Computational Thinking: Evaluation of a Blended Unplugged/Plugged-In Course,2019,9781450377041.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3361721.3361729,10.1145/3361721.3361729,"Coding as a practical skill and computational thinking (CT) as a cognitive ability have become an important topic in education and research. It has been suggested that CT, as an early predictor of academic success, should be introduced and fostered early in education. However, there is no consensus on the underlying cognitive correlates of CT in young elementary school children. Therefore, the present work aimed at (i) assessing CT and investigating its associations to established cognitive abilities, and (ii) evaluating a newly developed CT course for elementary school children.As such, 31 7-10-year-old children took part in 10 lessons of a structured CT course. The course aimed at introducing and fostering CT concepts in both unplugged and plugged-in ways, incorporating life-size board games, Scratch, Scratch for Arduino, and Open Roberta programming environments. In a pre-/post-test design, we assessed several cognitive abilities using standardized tests on nonverbal-visuospatial and verbal reasoning abilities, numeracy, as well as short-term memory, and measured CT using an adapted version of the only existing validated test CTt, to accommodate it to the younger sample.We identified significant associations between CT and nonverbal-visuospatial reasoning, as well as different aspects of numeracy (e.g., fact retrieval and problem completion). In line with recent theoretical accounts and empirical investigations for other age groups, these findings specify the underlying cognitive mechanism of CT in elementary school. Moreover, our results indicated that students were able to specifically improve their CT abilities through the course, as assessed by the adapted version of the CTt."
